N,K,|V_K|,largest_component_size,spectral_gap
3,1,3,3,0.9999999999999999
4,2,9,9,0.18350341907227377
5,3,29,29,0.12462204625893555
6,4,98,98,0.07573304484242821
7,5,343,343,0.052885732802133045
8,6,1230,1230,0.039852948799734576
