N,K,V,E,spectral_gap,fiedler,spectral_radius,normalized_gap,avg_eigenvalue,gap_to_size,gap_to_edges,is_K_N_minus_2
3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
3,1,3,2,1.0000000000000004,1.0,3.0,0.3333333333333335,2.0,0.3333333333333335,0.5000000000000002,True
3,2,5,4,0.3819660112501052,0.3819660112501047,3.618033988749895,0.10557280900008413,1.9999999999999998,0.07639320225002104,0.0954915028125263,False
3,3,6,6,0.9999999999999992,0.9999999999999993,3.9999999999999996,0.24999999999999983,2.4,0.16666666666666655,0.16666666666666655,False
4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4,1,4,3,0.9999999999999999,1.0,4.0,0.24999999999999997,2.0,0.24999999999999997,0.3333333333333333,False
4,2,9,9,0.2865623901954074,0.28656239019540714,5.156532937150119,0.055572686859202525,2.25,0.03184026557726749,0.03184026557726749,True
4,3,15,18,0.3376036697878226,0.33760366978782,5.567968361774753,0.060633187520522054,2.5714285714285725,0.022506911319188173,0.01875575943265681,False
4,4,20,27,0.3504631181664639,0.35046311816646697,5.779739118464367,0.06063649430937971,2.8421052631578942,0.017523155908323197,0.012980115487646812,False
4,5,23,33,0.4126060427097355,0.4126060427097347,5.894878361631945,0.06999398755965325,3.0,0.01793939316129285,0.01250321341544653,False
4,6,24,36,0.5857864376269044,0.5857864376269044,6.0,0.0976310729378174,3.130434782608696,0.02440776823445435,0.016271845489636234,False
5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
5,1,5,4,1.0,1.0,5.0,0.2,2.0,0.2,0.25,False
5,2,14,16,0.307978528369905,0.3079785283699027,6.526099452199024,0.04719182271519461,2.461538461538461,0.02199846631213607,0.019248658023119064,False
5,3,29,40,0.3040235502354349,0.3040235502354359,7.153104885725227,0.04250231963495263,2.8571428571428568,0.010483570697773618,0.007600588755885873,True
5,4,49,76,0.2700763142479094,0.27007631424790923,7.502166926269003,0.03599977405224499,3.1666666666666656,0.005511761515263457,0.0035536357137882814,False
5,5,71,120,0.25932113875079177,0.2593211387507899,7.680390619531035,0.03376405597019308,3.4285714285714284,0.003652410404940729,0.0021610094895899313,False
5,6,91,164,0.2701076658797528,0.2701076658797538,7.800128633684872,0.034628616855533936,3.644444444444444,0.0029682161085687123,0.0016469979626814197,False
5,7,106,200,0.2946326461404758,0.29463264614047,7.8817696007876705,0.03738153499323699,3.8095238095238093,0.0027795532654761868,0.001473163230702379,False
5,8,115,224,0.3192077828736633,0.31920778287366547,7.936041188328514,0.04022254614090463,3.929824561403508,0.002775719851075333,0.0014250347449717112,False
5,9,119,236,0.35706926902556574,0.35706926902556463,7.971278184347766,0.04479448098131858,4.0,0.0030005820926518128,0.0015130053772269734,False
5,10,120,240,0.3819660112501086,0.38196601125009955,8.000000000000005,0.04774575140626354,4.033613445378152,0.003183050093750905,0.0015915250468754524,False
6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
6,1,6,5,0.9999999999999997,0.9999999999999991,6.0,0.1666666666666666,2.0,0.1666666666666666,0.19999999999999993,False
6,2,20,25,0.3514993800539849,0.3514993800539859,7.829119757330716,0.044896411212111305,2.6315789473684212,0.017574969002699246,0.014059975202159396,False
6,3,49,75,0.2923717917094898,0.29237179170949085,8.687942480560736,0.033652592931372585,3.125,0.005966771259377343,0.0038982905561265307,False
6,4,98,170,0.24101451511840533,0.24101451511841,9.145924024476706,0.026352123030258304,3.5051546391752577,0.0024593317869225032,0.0014177324418729726,True
6,5,169,320,0.22041584379473403,0.2204158437947327,9.422863560166327,0.023391598783888513,3.80952380952381,0.001304235762099018,0.0006887995118585439,False
6,6,259,525,0.2112277123208181,0.21122771232081716,9.599659320170934,0.02200366755484578,4.069767441860464,0.0008155510128216915,0.00040233849965870116,False
6,7,360,770,0.2057804695533651,0.2057804695533704,9.716457774659913,0.02117854822464534,4.289693593314764,0.0005716124154260141,0.0002672473630563183,False
6,8,461,1030,0.2035035588903763,0.20350355889037888,9.79749085449729,0.02077098737958639,4.478260869565218,0.000441439390217736,0.00019757627076735562,False
6,9,551,1275,0.2118640561369736,0.21186405613699186,9.85809396416157,0.02149138128599615,4.636363636363637,0.00038450826885113177,0.0001661678871662538,False
6,10,622,1480,0.22300562053866013,0.22300562053866424,9.904436153814755,0.02251573103964814,4.766505636070853,0.0003585299365573314,0.00015067947333693253,False
6,11,671,1630,0.23451245811086063,0.23451245811086538,9.93944157026958,0.023594128146225437,4.865671641791044,0.000349496956946141,0.00014387267368764456,False
6,12,700,1725,0.24692480370511757,0.24692480370513356,9.964359550976125,0.02478080025533888,4.935622317596566,0.0003527497195787394,0.00014314481374209714,False
6,13,714,1775,0.25761526351128783,0.25761526351130026,9.981871905557238,0.0258083119026868,4.978962131837307,0.00036080569119227986,0.0001451353597246692,False
6,14,719,1795,0.26523975467739724,0.2652397546774088,9.99310206903846,0.026542284152104002,5.000000000000001,0.00036890091053880003,0.00014776588004311825,False
6,15,720,1800,0.2679491924311102,0.2679491924311079,10.000000000000018,0.026794919243110973,5.006954102920723,0.0003721516561543197,0.0001488606624617279,False
